response,context,context/0,context/1,context/2,context/3,context/4,context/5
"Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Holy CRAP!,The head has left and sent its children!,I think planet Earth has just been transported.,What the hell happened?,"Oh, God, what’s going on now?"
"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Holy CRAP!,The head has left and sent its children!,I think planet Earth has just been transported.,What the hell happened?
DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Holy CRAP!,The head has left and sent its children!,I think planet Earth has just been transported.
There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Holy CRAP!,The head has left and sent its children!
Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Holy CRAP!
"Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!"
"Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray."
"Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT.","Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead."
"Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT."
"That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,DISQUALIFIED!
"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.
What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy.",Like we’re not already under enough pressure!
"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!","Geez, Morty. The guy’s just doing his job. Take it easy."
Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!"
"Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?","Genius happens in the moment, Morty."
"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?"
I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls."
"And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?"
"We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!
"Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty."
"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…",Stop saying it like it’s a thing! You made it up!
We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!","Hey, Morty! Could you lick my…"
"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!"
Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?",I’ve seen enough. These guys are one-hit wonders.
"Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.","And what’s your plan, General?"
"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.","We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky."
I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!","Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam."
Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!"
"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",We should pack up and leave town now.
Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself."
"We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Whoa! Look at you! You’re wearing the hat and everything!
"Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?"
"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,"Yeah, sure. Wait, what??"
Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.
"Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?",Dinner sounds nice.
"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?,"Father, can we please go to the Ascension?"
What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Sure! Let’s go to the Ascension. Wh-wh-what is it?
Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!","We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise."
That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”","Oh yes, yes! Rise to the giant head! You are free to be free!"
"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”"
You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Who would take a lobster to see Iron Man 3?
"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway."
I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!,"Wait, wait, wait! Come on, h-hold on a second!"
Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.,What?!
"Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!,Damn. You didn’t tell me you fuck around with portals and shit.
"Ah, shit.","Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!",That’s it!
"Ahhh, shit.","Ah, shit.","Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!,"Whoa, whoa! Morty! Give me that!"
And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit.","Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing.",You lied! You lied about the charge! You were just being lazy! Get back! Sit down!
Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit.","Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.,"Morty, just put it down. You don’t know what you’re doing."
"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit.","Ahhhh, shit!",Nooooo!,I’m going to go find Mom and Dad.
I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit.","Ahhhh, shit!",Nooooo!
I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit.","Ahhhh, shit!"
"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit.","Ah, shit."
She’s not getting pregnant or doing drugs or missing curfew…,"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,"Ahhh, shit."
That’s not our business as long as Summer is thriving!,She’s not getting pregnant or doing drugs or missing curfew…,"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!
Taco time!  I hope it pleases you as the head desires.,That’s not our business as long as Summer is thriving!,She’s not getting pregnant or doing drugs or missing curfew…,"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.
"That’s wonderful, Summer!",Taco time!  I hope it pleases you as the head desires.,That’s not our business as long as Summer is thriving!,She’s not getting pregnant or doing drugs or missing curfew…,"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children."
"We’re so proud of you. But honestly, you don’t have to make dinner every night.","That’s wonderful, Summer!",Taco time!  I hope it pleases you as the head desires.,That’s not our business as long as Summer is thriving!,She’s not getting pregnant or doing drugs or missing curfew…,"She’s aced every test in potato class, and look how important potatoes have become.",I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!
